question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,directional_consensus,order_flow_imbalance,wallet_concentration,wallet_age_median_days,cross_market_wallet_flag,label,is_labeled_only,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
"US strikes Iran by January 14, 2026?",13619741.635223,-0.10257095161666785,0.15,0.20000000000000023,0.009695359714832655,0.03,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,1.0,0.6711164852763938,0.1810344827586206,0.8419959264627516,0.683918093525321,0.8889245523947196,357.0,14.0,,False,0.0,False,False,0.009213978436203089,0.6740322716576813,0.03048235243341703,0.04670856789671979,2026-01-14T00:00:00Z
"US strikes Iran by January 15, 2026?",7975001.728113,-0.019444952423810946,0.765,0.08928571428571436,0.06088148779025983,0.24000000000000005,0.28,0.30000000000000004,0.28,0.570135996410906,0.4126057306478468,0.1406635837112198,0.6402326991258589,0.24150933287302118,0.9137231957550747,247.0,13.0,,False,0.0,False,False,0.02703147232972916,0.5202386368929257,0.04207748879669507,0.05470103385128217,2026-01-15T00:00:00Z
"US strikes Iran by January 17, 2026?",3823998.430446,-0.11330603565607711,0.47,0.0034285714285714314,0.02211783231040878,0.09999999999999998,0.4375,-0.003499999999999996,0.0,0.08087305580395458,0.025634593317361152,0.0603966663150121,0.7769056484399013,0.6121648479537791,0.91221574048613,262.5,13.0,,False,0.0,False,False,0.04082089273217628,0.14412426204861903,0.5737293852148375,0.15256775969453068,2026-01-17T00:00:00Z
"US strikes Iran by February 28, 2026?",89652867.363489,0.0014033199341483282,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,0.014887003384781763,0.004146120747416327,0.0225852593540615,0.550770293020824,0.08172107975265173,0.9216365473344328,247.0,14.0,,False,1.0,True,True,0.9342879874784114,0.12784578769693158,0.6561421614690772,0.8383367122874705,2026-01-31T00:00:00Z
"US strikes Iran by February 1, 2026?",6629658.109989,-0.13728474621603526,0.225,0.08333333333333333,0.010767302918195741,0.044999999999999984,0.18,-0.05,-0.05,0.2069508777523837,0.07646037426901495,0.0743680547075345,0.8552943545722047,0.7100150201263685,0.9337084084152703,207.0,15.0,,False,0.0,False,False,0.008782548010156703,0.10519771867709178,0.5717375790041703,0.1261943127423062,2026-02-01T00:00:00Z
"US strikes Iran by February 2, 2026?",4246232.054818,-0.1364815561773413,0.18,0.012158054711246213,0.008378968461354327,0.030000000000000013,0.16449999999999998,-0.0075,-0.0115,0.23412228347921502,0.07572301794603672,0.1267928286852589,0.9022870952142262,0.8218397419751072,0.9407241785688982,276.5,16.0,,False,0.0,False,False,0.03167099950002606,0.1444750585749018,0.49708243027921384,0.13039348860960742,2026-02-02T00:00:00Z
"US strikes Iran by February 6, 2026?",9750255.569183,-0.14009462464553646,0.255,0.0,0.01353114543510179,0.05499999999999999,0.010000000000000009,0.010000000000000009,-0.044999999999999984,0.04292573440596657,0.015297686727226588,0.0778263244128891,0.6787985005402343,0.35759700108046827,0.9168914617689115,253.5,14.0,,False,0.0,False,False,0.006827645531637524,0.06623517964744008,0.7220216395387729,0.1528368210388547,2026-01-31T00:00:00Z
"US strikes Iran by February 13, 2026?",15146244.148657,-0.12876948503659302,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,0.07595026142770615,0.055131843673151756,0.0390490104927613,0.6140451160336793,0.2469283253399867,0.907540623426655,161.0,14.0,,False,0.0,False,False,0.0676319066674518,0.07008531911552673,0.6485879967354888,0.18394579530346297,2026-01-31T00:00:00Z
"US x Iran ceasefire extended by April 21, 2026?",5811146.908703924,-0.027935984496407607,0.645,0.43859649122807015,0.0867356727251073,0.32499999999999996,0.28500000000000003,-0.025000000000000022,-0.29500000000000004,0.07022106999698546,0.012642163204852628,0.0544039666689621,0.6662118541340778,0.32110256184814834,0.9121070292602915,354.5,14.0,,False,0.0,False,False,0.00755980488372681,0.31261829405644537,0.22909967804633702,0.06712070397488479,2026-04-21T00:00:00Z
US government shutdown Saturday?,157296576.448084,0.07593391630142143,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.25,-0.030000000000000027,0.18499999999999994,0.023122544260420073,0.009736219075127036,0.0290191024404589,0.6822189548094711,0.4461019908613551,0.9665348244598186,380.0,16.0,,False,0.0,False,False,0.022138236752208218,0.12902895988372545,0.5563120365823099,0.1343175328748044,2026-01-31T00:00:00Z
