question,volume,end_date,surprise_score,late_move_ratio,price_volatility,max_single_move,final_price,starting_price,total_price_move,price_momentum_6h,price_momentum_12h,anomaly_score,suspicion_score
"US strikes Iran by January 14, 2026?",13619741.635223,2026-01-14T00:00:00Z,0.15,0.20000000000000023,0.009695359714832655,0.03,0.125,0.15,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,1,-0.10257095161666785
"US strikes Iran by January 15, 2026?",7975001.728113,2026-01-15T00:00:00Z,0.765,0.08928571428571436,0.06088148779025983,0.24000000000000005,0.515,0.235,0.28,0.30000000000000004,0.28,1,-0.019444952423810946
"US strikes Iran by January 17, 2026?",3823998.430446,2026-01-17T00:00:00Z,0.47,0.0034285714285714314,0.02211783231040878,0.09999999999999998,0.0325,0.47,0.4375,-0.003499999999999996,0.0,1,-0.11330603565607711
"US strikes Iran by February 28, 2026?",89652867.363489,2026-01-31T00:00:00Z,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.545,0.485,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,-1,0.0014033199341483282
"US strikes Iran by February 1, 2026?",6629658.109989,2026-02-01T00:00:00Z,0.225,0.08333333333333333,0.010767302918195741,0.044999999999999984,0.045,0.225,0.18,-0.05,-0.05,1,-0.13728474621603526
"US strikes Iran by February 2, 2026?",4246232.054818,2026-02-02T00:00:00Z,0.18,0.012158054711246213,0.008378968461354327,0.030000000000000013,0.0155,0.18,0.16449999999999998,-0.0075,-0.0115,1,-0.1364815561773413
"US strikes Iran by February 6, 2026?",9750255.569183,2026-01-31T00:00:00Z,0.255,0.0,0.01353114543510179,0.05499999999999999,0.245,0.255,0.010000000000000009,0.010000000000000009,-0.044999999999999984,1,-0.14009462464553646
"US strikes Iran by February 13, 2026?",15146244.148657,2026-01-31T00:00:00Z,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.44,0.345,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,1,-0.12876948503659302
"US x Iran ceasefire extended by April 21, 2026?",5811146.908703924,2026-04-21T00:00:00Z,0.645,0.43859649122807015,0.0867356727251073,0.32499999999999996,0.36,0.645,0.28500000000000003,-0.025000000000000022,-0.29500000000000004,1,-0.027935984496407607
US government shutdown Saturday?,157296576.448084,2026-01-31T00:00:00Z,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.865,0.615,0.25,-0.030000000000000027,0.18499999999999994,-1,0.07593391630142143
Will António José Seguro win the 2026 Portugal presidential election?,7867806.308222,2026-01-25T14:00:00Z,0.056499999999999995,0.02702702702702703,0.0011801489225050992,0.008000000000000007,0.9805,0.9435,0.03700000000000003,-0.0010000000000000009,-0.0010000000000000009,1,-0.08685594028879834
Will Karol Nawrocki be the next President of Poland?,31735999.949038,2025-05-18T12:00:00Z,0.265,0.0,0.006049815833239551,0.025000000000000022,0.255,0.265,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,1,-0.09541898586032299
Will Rafał Trzaskowski be the next President of Poland?,40863065.298881,2025-05-18T12:00:00Z,0.30500000000000005,0.0,0.004996603645028676,0.020000000000000018,0.74,0.695,0.04500000000000004,0.03500000000000003,0.025000000000000022,1,-0.085889068260243
Will Pierre Poilievre be the next Canadian Prime Minister?,67376035.838465,2025-04-28T12:00:00Z,0.2195,0.0,0.0034017277851038415,0.015499999999999986,0.2245,0.2195,0.0050000000000000044,-0.004500000000000004,-0.0005000000000000004,1,-0.049098591494567634
Will Mark Carney be the next Canadian Prime Minister?,36416000.185007,2025-04-28T12:00:00Z,0.22050000000000003,0.0,0.0028576852295139816,0.013000000000000012,0.7765,0.7795,0.0030000000000000027,0.0044999999999999485,0.0010000000000000009,1,-0.08430905570004787
Will the next Prime Minister of Hungary be Viktor Orbán?,25456113.707224935,2026-04-12T00:00:00Z,0.305,0.5,0.004985185152621435,0.010000000000000009,0.285,0.305,0.020000000000000018,-0.010000000000000009,-0.010000000000000009,1,-0.09948040972724392
Will the next Prime Minister of Hungary be Péter Magyar?,24555476.477281053,2026-04-12T00:00:00Z,0.30500000000000005,1.0,0.004382281320814535,0.010000000000000009,0.705,0.695,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,1,-0.07717655360632386
Iran x Israel/US conflict ends by April 15?,17450416.216830038,2026-04-15T00:00:00Z,0.5575,0.013377926421404692,0.048874996737825464,0.15200000000000002,0.7415,0.4425,0.29900000000000004,0.040000000000000036,0.19200000000000006,1,-0.07664781630119921
Will Trump release the Epstein files by December 20?,1083715.505215,2025-12-20T00:00:00Z,0.30000000000000004,0.2270450751252088,0.03972130914257486,0.21000000000000008,0.9995,0.7,0.2995000000000001,0.07450000000000001,0.2845000000000001,1,-0.11536809577742169
US x Venezuela military engagement by December 15?,3803402.88312,2025-11-30T00:00:00Z,0.275,0.3333333333333332,0.025757865447526056,0.16499999999999998,0.395,0.275,0.12,-0.019999999999999962,0.12,1,-0.1399021650142866
Will José Antonio Kast win the Chilean presidential election?,6918328.14737,2025-11-16T12:00:00Z,0.29500000000000004,0.2500000000000007,0.005407772351973962,0.020000000000000018,0.665,0.705,0.039999999999999925,-0.010000000000000009,-0.039999999999999925,1,-0.14236815649100448
Will TISZA – Respect and Freedom Party (TISZA) win the most seats in the next Hungarian parliamentary election?,4782714.49172103,2026-04-12T00:00:00Z,0.245,0.25,0.004960783708246112,0.015000000000000013,0.735,0.755,0.020000000000000018,-0.020000000000000018,-0.020000000000000018,1,-0.1471588786052403
Will Fidesz–KDNP win the most seats in the next Hungarian parliamentary election?,4467769.916728955,2026-04-12T00:00:00Z,0.245,0.0,0.00562429133857986,0.014999999999999986,0.245,0.245,0.0,0.0,0.010000000000000009,1,-0.14335087591072737
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,17826731.742495,2025-06-24T12:00:00Z,0.745,0.06896551724137938,0.04488050630378629,0.29000000000000004,0.455,0.745,0.29,0.0,-0.09500000000000003,1,-0.040542332629118494
Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,17848349.233334,2025-06-24T12:00:00Z,0.7515000000000001,0.05772495755517831,0.04297631918702023,0.2859999999999999,0.543,0.2485,0.29450000000000004,-0.0040000000000000036,0.10400000000000004,1,-0.050467850402306
Maduro out in 2025?,34641400.627049,2025-12-31T12:00:00Z,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.0015,0.0075,0.006,-0.0035,-0.0025,1,-0.004653468542053396
"Maduro out by November 30, 2025?",5568345.12412,2025-11-30T12:00:00Z,0.0065,0.0,0.00303853327653525,0.0125,0.0055,0.0065,0.001,0.0,-0.0135,1,-0.08477358890392589
Will Trump visit China by March 31?,10369639.104046939,2025-10-31T00:00:00Z,0.61,0.0,0.062124153854663675,0.415,0.12,0.61,0.49,0.0,-0.024999999999999994,1,-0.022344313639176383
Will Trump visit China by May 31?,7626224.046920019,2026-03-31T00:00:00Z,0.20499999999999996,0.125,0.004702004204317028,0.020000000000000018,0.715,0.795,0.08000000000000007,-0.020000000000000018,-0.020000000000000018,1,-0.13481416634999044
Will Trump visit China by June 30?,2339353.8254859988,2026-03-31T00:00:00Z,0.16500000000000004,0.0,0.005244152146326051,0.029999999999999916,0.795,0.835,0.039999999999999925,-0.03499999999999992,-0.039999999999999925,1,-0.1271967989242478
"Will Elon Musk post 220-239 tweets from February 24 to March 3, 2026?",1668368.255463,2026-03-03T17:00:00Z,0.314,0.3580034423407918,0.030124849970477888,0.10599999999999998,0.0235,0.314,0.2905,-0.1225,-0.294,1,-0.11453223190106182
"Will Elon Musk post 240-259 tweets from February 24 to March 3, 2026?",1294147.331077,2026-03-03T17:00:00Z,0.277,0.0216998191681736,0.01201700411352041,0.04949999999999999,0.0005,0.277,0.2765,-0.011,-0.0365,1,-0.14468154831791197
Will the AfD win 20-25% of the vote in the German election?,5686465.456763,2025-02-23T12:00:00Z,0.355,0.5,0.00584429008290229,0.020000000000000018,0.665,0.645,0.020000000000000018,0.015000000000000013,0.010000000000000009,1,-0.14178878024167735
