burst_score,directional_consensus,new_wallet_ratio,new_wallet_ratio_6h,order_flow_imbalance,question,top_wallet_addresses,total_volume,trade_count,unique_wallets,wallet_concentration,wallet_age_median_days,cross_market_wallet_count,cross_market_wallet_flag
0.01010418714369963,0.7081092247626279,0.001973572087310192,0.0015915366820994465,0.4204986888190301,Will Karol Nawrocki be the next President of Poland?,"0xd218e474776403a330142299f7796e8ba32eb5c9,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,0x2326812917a7bfecb485bb768007c910ea31ab0e,0x1cfc260bfa2b5ae89377863180ca3b4f5c862111,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,0x4f2ba33b080882c0f6b296f48cfd07b6c326f448,0x86793ad1e8f33ae23bcaf93200ec5c7bd2664659,0x51373c6b56e4a38bf97c301efbff840fc8451556,0x54e289262526f4cf3c347826b416ef341f7d5009,0x629bc4a1e53e1d475beb7ea3d388791e96dd995a,0x21f90e5ff30c12f52fbb2fb220aa268f22faed12,0xcbbc4c8802f6d061504c9d670a181508cf42ea5a,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0xe38ef5d1b91f3450283f0817d33d75d19aa8c29d,0x6cbbdaf7e3e780ecbfa0048bf0e1f35c57db89ab,0xe8d730c4bc8b6961d59f07a93b460016f5b89d1c,0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,0x07d4245464dc4fa05d0b3f084d82482462dc8991,0xd16896480f5768b7b34696a1f888f36ae109f3cf",3149177.996568995,25435,2274,0.9456099959760955,506.0,7,7
0.00371222477854467,0.8593843348635422,0.0022858238903591065,0.0016897172487709902,0.7184495377813331,Will Rafał Trzaskowski be the next President of Poland?,"0x2326812917a7bfecb485bb768007c910ea31ab0e,0x629bc4a1e53e1d475beb7ea3d388791e96dd995a,0x54e289262526f4cf3c347826b416ef341f7d5009,0xbd2f7d4b6d9ec4188070079db70a1d8bc7088bae,0x79fa9f8809d9c186c1f289aef10a89dbf2878a55,0xe1388415c37e52ca089585942e59bf9046188448,0xd218e474776403a330142299f7796e8ba32eb5c9,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x6cb8a17a73860381bf090acc9d1eb7662197f4f1,0x1f0a343513aa6060488fabe96960e6d1e177f7aa,0x659c65de373a10e5f319f728b747e0e94fce8dfc,0xe25c28438f4f51bf12efed21efd45f33d8cfae63,0xa7fa144dbc59c7171a9aced9a779e1f26cda16cb,0x5a616cb7a3c591ecc6547f12046f8fc7fb525781,0x8365a0c9908dca494abaf0b90584162b474ce9a6,0x07a6bcc9126f453336a26aaa0cc488ec922a2e31,0x00a6113ce964370085baec5521c5d12ebd579343,0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,0xb6bed94e75c333dae24eb9c80b3fef47ef3cfcfe,0xc29629055861879e2b94f31becfe0e23e918c666",7096748.094819981,89973,14795,0.9598028804877519,500.0,4,4
0.03904901049276132,0.6140451160336792,0.07595026142770618,0.05513184367315177,0.2469283253399871,"US strikes Iran by February 13, 2026?","0x96489abcb9f583d6835c8ef95ffc923d05a86825,0xd8838178aff5724278d1f4a5f04d7fb8a52dedea,0x1abeb44ac776ffa55e320cbf5e9f578500fe8a07,0xfc2f4f50ce2f6045d35558a5e2d8d4b2ac6610c7,0x1dd197fa8bb4d6887ffecf89b75171aea7d7a156,0x56ebe2a8eb1b9bccfd3059f981f9c987e45e076a,0x0540f430df85c770e0a4fb79d8499d71ebc298eb,0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,0x0d15e2724df455f9e65b15104d21d76412a2c454,0x5188fa0e8a77e87bc6a58e6781fdfc4e165cc804,0xacbfc174623468d03d8ae7d50da1b71b0a410c9a,0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,0x8064eaec8305a043dfcc37c6bf6adef93ccfe50c,0xdbade4c82fb72780a0db9a38f821d8671aba9c95,0x7d3a81f7c2490d7eecb74893e69a36c0b4d8d8b8,0x06dcaa14f57d8a0573f5dc5940565e6de667af59,0xd980f290f7c6ac2cb4e3ec06a299b48ea5e35be0,0x86cd93526a4e7ad201ed3d1c6f2647b61837504c,0x3a8651c42ac19aa3e3141531a298abc72f51dea8,0xbacd00c9080a82ded56f504ee8810af732b0ab35",1017964.2621189996,7529,1616,0.9075406234266559,176.0,2,2
0.18103448275862069,0.8419959264627516,0.9999999999999984,0.6711164852763921,0.6839180935253194,"US strikes Iran by January 14, 2026?","0x96489abcb9f583d6835c8ef95ffc923d05a86825,0xab19716584931d81cd9e7763402673a64baa4876,0x076ca0207aaa48365da2eb6a917edcbdee5e4e7b,0xa82b0e89cf734e2fa70cbd52ca65c77d64595220,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,0xa8af4c7923857533b687df9bf02115156e3a325e,0x0e0893a4164bf17b0d87e08e57f8702b58ee2ce9,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0xcf6e295f9cc9767eb5579c83177fc87676d4b45b,0x7d5d15335ec60449995971a563fd94e060f091d8,0x31b5d60d82ee8a14dc795a41a63953f0974c6128,0x784feec38475dc47e63c3a16cbd24b905dab5df9,0xc360b7771fe7c63139076a6f9e8c34b773badbb2,0xfcf2378f20cf408d077c21e731272f21cccea469,0xa9e8faf20424f3efbf12abaea0e7069d7546c443,0xbacd00c9080a82ded56f504ee8810af732b0ab35,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0x020b3e1b425742b74b67723c5e0feb912665d13c,0xefd06d1a6cc221b747890dce15f00bf05742bf24",305474.96243900066,3364,906,0.8889245523947193,419.5,6,6
0.03182994658296162,0.7943305125426591,0.10944623295572137,0.0384261676752381,0.5951384474931525,US government shutdown by October 1?,"0x993c072519306017fe9a6b3ee6fa4a02b3056787,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,0x889e7f0464c72eb8cda1525ebc12b6aaba9d09e0,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,0x1c72797cd4b9b83f42e287144e334c4de347dfb6,0x08f059c7e5e73f433151bd73f2394fc249f04ca4,0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,0x0aae5c4ec45339a64a1dd2fe4ba98c2a19eb251c,0xa67209aaa09ba891adb7d291310e49914472f083,0x2e9821af10f542268733b8b7ceee98e3e1461f51,0xd748c701ad93cfec32a3420e10f3b08e68612125,0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,0xbacd00c9080a82ded56f504ee8810af732b0ab35,0xf5cfe6f998d597085e366f915b140e82e0869fc6,0x0deb9e991ba00eb3b398e39e786a94a1db839b0f,0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,0xf5198df69e13937a40d1c76d6f72d9aa067d906b,0x1cfc260bfa2b5ae89377863180ca3b4f5c862111",7691763.103153858,36318,5984,0.9550003894309658,519.5,7,7
0.02901910244045894,0.6822189548094719,0.023122544260420153,0.009736219075127058,0.4461019908613555,US government shutdown Saturday?,"0x7744bfd749a70020d16a1fcbac1d064761c9999e,0xbacd00c9080a82ded56f504ee8810af732b0ab35,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,0xf5cfe6f998d597085e366f915b140e82e0869fc6,0x96489abcb9f583d6835c8ef95ffc923d05a86825,0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,0xc20c3ccd49e06eda6c336539abc16714872be2bd,0x74471a007ddcc488f6d57b5e86dfb35a8d48a16d,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0xd748c701ad93cfec32a3420e10f3b08e68612125,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x3f62acb989dd53789f8453faa0b24060656ae744,0x35bbbad2415fe5e39b12da9a316cdc80b022009b,0x4851a13a61c99688c68191e8e8a8755ea5b81e94,0x3f3bfc6d754e416699793901ffb12ddeee9f1d77,0xbb39ba863319281427a482c8714ffdf69cb7ee8a,0xc6587b11a2209e46dfe3928b31c5514a8e33b784",36382057.4599568,231227,23844,0.966534824459818,335.5,9,9
0.06000027441241442,0.5082021349931934,0.032481915688860226,0.01830994444317642,0.5607936871934198,Government shutdown on Saturday?,"0x96489abcb9f583d6835c8ef95ffc923d05a86825,0x05e26c775ecfe91b897d47f134c1bf5900ca6e12,0x78048aa26ac1967566b8ed11910b529e5f2d7025,0x7744bfd749a70020d16a1fcbac1d064761c9999e,0x35bbbad2415fe5e39b12da9a316cdc80b022009b,0xbb39ba863319281427a482c8714ffdf69cb7ee8a,0x9d84ce0306f8551e02efef1680475fc0f1dc1344,0xd426adbc3c4461c86099c26221c877f20e42334a,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0x9bcada74fbcaa331afecdf7e861fbc9532ecca1f,0x3c593aeb73ebdadbc9ce76d4264a6a2af4011766,0xcf6e295f9cc9767eb5579c83177fc87676d4b45b,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x7c873c11e40ceaaba6385322d49f565b66659bd4,0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,0x8f7a4b414417911e7e9bd738399874792cdbdb40,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,0x3078db4a9737866b4d6529f655025b3a20f80389",9118355.764330007,72883,8376,0.9537133890000331,424.5,5,5
0.00730497939800265,0.7897052601977342,0.007150279634660725,0.004921556738948691,0.5818930153823902,Will Mark Carney be the next Canadian Prime Minister?,"0xd218e474776403a330142299f7796e8ba32eb5c9,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0xe1055b4b4c1342281bf5cba7d18074f8126f9cb3,0x4d3e59470cd241c4382cabbd2bfd10037cce58c7,0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,0xa9ee0279edee743ed85fb293c079994a24635a28,0x45580feac3b916a88b7513929e26f86b3adea2b3,0xecb14ac6e9ca447ce2f2912e6217b43d7b655da3,0xbd2f7d4b6d9ec4188070079db70a1d8bc7088bae,0xc96aeabae8c81faf8d803201da1d2461cefc396a,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,0x368ba69507fd67972059fa178af5e459b72f2458,0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3,0xb9cc124e6ee0ba7f340394fb8b207a988d7b387a,0x96c6740f9b58c5a38c9172147cd6266da06c34a2,0xb84304b56cb1e1d492708cd8c3c7796c08211b3f,0x2326812917a7bfecb485bb768007c910ea31ab0e,0x45d0f9a7f99a1755653e0e3ce10c86c36ab5de55,0xdbade4c82fb72780a0db9a38f821d8671aba9c95,0x72aa070b8c9e4780aba966a6b337242eedd23b8b",22494773.490440134,71595,10729,0.9664621148202768,580.5,7,7
0.00592657630466992,0.7115086277047601,0.006242460410667474,0.0035491437642813034,0.49481751786599254,Will Pierre Poilievre be the next Canadian Prime Minister?,"0xd218e474776403a330142299f7796e8ba32eb5c9,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0xc96aeabae8c81faf8d803201da1d2461cefc396a,0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3,0xecb14ac6e9ca447ce2f2912e6217b43d7b655da3,0x368ba69507fd67972059fa178af5e459b72f2458,0xa9ee0279edee743ed85fb293c079994a24635a28,0x4d3e59470cd241c4382cabbd2bfd10037cce58c7,0x45580feac3b916a88b7513929e26f86b3adea2b3,0xfffadf38a520cd5a0035ff52d7fceb436a08864b,0xbd2f7d4b6d9ec4188070079db70a1d8bc7088bae,0x4f2ba33b080882c0f6b296f48cfd07b6c326f448,0xc6587b11a2209e46dfe3928b31c5514a8e33b784,0xb84304b56cb1e1d492708cd8c3c7796c08211b3f,0x2326812917a7bfecb485bb768007c910ea31ab0e,0xe1055b4b4c1342281bf5cba7d18074f8126f9cb3,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0xb5320ec9649903bb2d15bd4bb69b776a309a7028,0xe8d730c4bc8b6961d59f07a93b460016f5b89d1c,0x72aa070b8c9e4780aba966a6b337242eedd23b8b",36775419.30945995,91115,12800,0.9622622476432463,542.5,8,8
0.01399347518312576,0.5405980372987589,0.010439986022251869,0.004175514235893313,0.18302534194743522,Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,"0x51373c6b56e4a38bf97c301efbff840fc8451556,0xd218e474776403a330142299f7796e8ba32eb5c9,0xecb14ac6e9ca447ce2f2912e6217b43d7b655da3,0x17e5540bc696fd3e8b7da9101a93e4835c783d19,0x011f2d377e56119fb09196dffb0948ae55711122,0x75049bd489194be19c45c31ed311e556411c9c69,0x72aa070b8c9e4780aba966a6b337242eedd23b8b,0xfcf2378f20cf408d077c21e731272f21cccea469,0x448861155279dbf833d041b963e3ac854599e319,0x6e251d0eb6580df28523d3817dead5464cd41531,0x14a1147ae7d206b835c1ee8f901e4e2eec111149,0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x074b7a9b06a6d073ff3b312b6334591576b4268b,0xb48b9192dc52eed724fa58c66fa8926d06a3648e,0x585bef2dc5b122bb8b93dd421f32dd1ca2f4753f,0x6cbbdaf7e3e780ecbfa0048bf0e1f35c57db89ab,0xfc2ac28cf3b3ebae28ab32b754098c7b30cdf505,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,0xc0ffa24eb2bfaeaafe11b5c1143281f7c590136b",9306797.614279024,48737,3619,0.957218333535846,402.0,8,8
