question,token_id,volume,starting_price,final_price,vpin_score,time_weighted_vpin,surprise_score,late_move_ratio,price_volatility,total_price_move,suspicion_score
Espresso FDV above $400M one day after launch?,78568132415567182726104677709824196274086703196682421263731952920906823541035,90657.051213,0.265,0.0005,0.7256515775034295,0.6902426432627775,0.265,0.011342155009451795,0.0382869136272701,0.2645,-0.11895831764535608
Espresso FDV above $300M one day after launch?,95207544635245843969235509460769078286096821748894005744286091856744829413969,140357.76276,0.48,0.0005,0.9055712936732766,0.9188531241547201,0.48,0.013555787278415018,0.06135186240374586,0.4795,-0.1202716171860077
Espresso FDV above $200M one day after launch?,106824408592813020013301350134034008352555643908738093172210459345634665782526,136127.009099,0.45,0.9995,0.4658753709198814,0.435483870967742,0.55,0.8453139217470427,0.1153583411591897,0.5495000000000001,-0.06468549253645889
Canton FDV above $3B one day after launch?,11560062270525688001966253996634226405506432414025404825872817193671914818424,127563.232364,0.485,0.9995,0.3806881243063264,0.3462498722459886,0.515,0.11175898931000991,0.027495332937306535,0.5145000000000001,-0.1437756457699063
Will the Ethereum Volatility Index hit 80 in 2026?,41871265911754946731129658583936433770294563036183824555396562201792099792940,11010.764202,0.435,0.57,0.5294117647058822,0.9097744360902255,0.565,0.0,0.02998888683051328,0.13499999999999995,-0.0659056066483093
Flying Tulip FDV above $1.5B one day after launch?,25655548632838991413725784852217444733579808837570809132338679767183056286428,372572.257265,0.415,0.0825,0.2621206148994875,0.03365812526350301,0.415,0.1443609022556391,0.019157363827462682,0.33249999999999996,-0.08642409122073474
Yieldbasis FDV above $1B one day after launch?,95044803636899241388238917009584541946627737243209507813374211530978935871833,59806.927209,0.455,0.0005,0.1800356506238859,0.30300627490137344,0.455,0.0242024202420242,0.09866721424397604,0.4545,-0.1347755069380812
VOOI FDV above $1.5B one day after launch?,79623826311561317632165021004515331566565159149984241228306934976164990598528,26384.721531,0.15,0.0005,0.52,0.30239520958083826,0.15,0.0,0.0087362100239904,0.1495,-0.08642222840139008
ETHGAS FDV above $400M one day after launch?,85934258709329290273373875123559383792498971530308630207427489255921147811872,23976.872672,0.465,0.017,0.8072072072072073,0.8080369023330082,0.465,0.17075892857142858,0.04691066751436818,0.448,-0.11850494014207541
Zama FDV above $1B one day after launch?,72714409290459033205669551976861557353797561756637439305442648092200172881742,905444.410696,0.675,0.0005,0.19519606424540592,0.18283154626649828,0.675,0.00593031875463306,0.042533062527937815,0.6745000000000001,-0.034936992514007614
Zama auction clearing price above $0.04?,75708158412677585226677422198604829899112573674583007200556310906275153671201,471980.792026,0.785,0.998,0.1265597147950089,0.22799050996198872,0.21499999999999997,0.14553990610328654,0.07494422993132961,0.21299999999999997,-0.08950237790534993
Harmonix FDV above $100M one day after launch?,4051336992685351757340629855612310296761745025349138314476966033910887433640,53357.873044,0.495,0.0015,0.34643734643734647,0.28450892315163295,0.495,0.0010131712259371835,0.05247707774795433,0.4935,-0.15824771133020415
Harmonix FDV above $15M one day after launch?,3491717494599659331617575074678590420169379028313861621833870233697812120694,56213.549678,0.385,0.0045,0.9596469104665826,0.9082568807339448,0.385,0.00788436268068331,0.11333031368526252,0.3805,-0.10357110530322206
Over $500K committed to the Sol Raffle public sale?,69225360515959871273342917747403105144081844286607492305015405142161489666637,45128.015107,0.765,0.0075,0.9882583170254404,0.9800995024875622,0.765,0.00594059405940594,0.19638844638878325,0.7575000000000001,0.02154862559253712
Kinetiq FDV above $1B one day after launch?,57909680388124623195706590128706255192946062369808322073929909113446178298259,242332.164864,0.7,0.0005,0.2495985727029437,0.26297717978406066,0.7,0.0,0.03759222181015453,0.6995,-0.06177521026763949
Hyperswap FDV above $40M one day after launch?,13135027165246962763958089757502959928915914743714939800730148803491388597923,53843.149158,0.405,0.003,0.6213292117465223,0.7792313982011447,0.405,0.006218905472636815,0.17802309463162982,0.402,-0.03274309668320852
HumidiFi FDV above $300M one day after launch?,71302665488901790601076221306523888065834744836371900031320546112140504974898,229684.290415,0.2,0.0065,0.14959412446849632,0.14821235811716985,0.2,3.041343669250646,0.19289375313887178,0.1935,0.08161500469261862
"Will Tria launch a token by September 30, 2026?",59996369419938254495869936282721829204405471586668574300349373313741663059729,11655.236101,0.5,0.9995,0.6961672473867594,0.42872696817420414,0.5,0.029029029029029162,0.02924607360588868,0.49950000000000006,-0.13180931586036604
Sentient FDV above $600M one day after launch?,53771956347426636218969009446177816473587442534794301384367596367373359841637,335104.531607,0.825,0.9915,0.0535972959922743,0.1385043250649271,0.17500000000000004,0.12012012012012016,0.041209344088537096,0.1665000000000001,-0.0691184132667047
Kodiak FDV above $25M one day after launch?,94948648934960071858790626134847759497797690064910073720539010874484547825395,242681.658571,0.665,0.996,0.8687664041994749,0.8780983340105648,0.33499999999999996,0.07703927492447121,0.060850910702579745,0.33099999999999996,-0.09707079332381979
Elsa FDV above $50M one day after launch?,101665726004301104190373790618703283461684041309725029763160882241975642612361,33838.263483,0.625,0.9975,1.0,1.0,0.375,0.0013422818791947809,0.1176235387794467,0.37250000000000005,-0.06998081054853539
"Will Opinion launch a token by February 28, 2026?",23641462641556953583022032620034685993226006023703977456530476099179630612327,398971.415023,0.525,0.0005,0.1453109849009558,0.3199081774319921,0.525,0.0,0.07198860914418369,0.5245000000000001,-0.12144286866836562
Over $25M committed to the Trove public sale?,73740850646653855633489246012288119763897683813523179938063875686003007708152,93110.487255,0.38,0.018,0.9836956521739131,0.9619651347068146,0.38,0.04005524861878454,0.07312277347037652,0.362,-0.09971006160647361
